State,State Code,District,Party,Candidate,Incumbent,Votes,Pct%
Indiana,IN,2nd,Libertarian Party,Henry ,/,"5,588",3.0%
Indiana,IN,3rd,Republican,Banks* ,Incumbent,"131,252",65.3%
Indiana,IN,3rd,Democratic,Snyder ,/,"60,312",30.0%
Indiana,IN,3rd,Ind.,Gotsch ,/,"9,354",4.7%
Indiana,IN,4th,Republican,Baird* ,Incumbent,"134,442",68.2%
Indiana,IN,4th,Democratic,Day ,/,"62,668",31.8%
Indiana,IN,5th,Republican,Spartz* ,Incumbent,"146,496",61.1%
Indiana,IN,5th,Democratic,Lake ,/,"93,373",38.9%
Indiana,IN,6th,Republican,Pence* ,Incumbent,"130,482",67.5%
Indiana,IN,6th,Democratic,Wirth ,/,"62,743",32.5%
Indiana,IN,7th,Democratic,Carson* ,Incumbent,"116,870",66.9%
Indiana,IN,7th,Republican,Grabovsky ,/,"53,487",30.6%
Indiana,IN,7th,Libertarian Party,Maple ,/,"4,227",2.4%
Indiana,IN,8th,Republican,Bucshon* ,Incumbent,"141,746",65.7%
Indiana,IN,8th,Democratic,McCormick ,/,"67,947",31.5%
Indiana,IN,8th,Libertarian Party,Horning ,/,"5,930",2.8%
Indiana,IN,9th,Republican,Houchin ,/,"138,765",62.9%
Indiana,IN,9th,Democratic,Fyfe ,/,"75,631",34.3%
Indiana,IN,9th,Libertarian Party,Millis ,/,"6,370",2.9%
Iowa,IA,1st,Republican,Miller-Meeks* ,Incumbent,"162,947",53.4%
Iowa,IA,1st,Democratic,Bohannan ,/,"142,223",46.6%
Iowa,IA,2nd,Republican,Hinson* ,Incumbent,"172,167",54.1%
Iowa,IA,2nd,Democratic,Mathis ,/,"145,930",45.9%
Iowa,IA,3rd,Republican,Nunn ,/,"156,261",50.3%
Iowa,IA,3rd,Democratic,Axne* ,Incumbent,"154,117",49.7%
Iowa,IA,4th,Republican,Feenstra* ,Incumbent,"186,467",67.4%
Iowa,IA,4th,Democratic,Melton ,/,"84,229",30.4%
Iowa,IA,4th,  ,Holder ,/,"6,035",2.2%
Kansas,KS,1st,Republican,Mann* ,Incumbent,"159,258",67.8%
Kansas,KS,1st,Democratic,Beard ,/,"75,726",32.2%
Kansas,KS,2nd,Republican,LaTurner* ,Incumbent,"132,765",57.6%
Kansas,KS,2nd,Democratic,Schmidt ,/,"97,580",42.4%
Kansas,KS,3rd,Democratic,Davids* ,Incumbent,"163,138",54.9%
Kansas,KS,3rd,Republican,Adkins ,/,"127,164",42.8%
Kansas,KS,3rd,Libertarian Party,Hohe ,/,"6,803",2.3%
Kansas,KS,4th,Republican,Estes* ,Incumbent,"142,863",63.5%
Kansas,KS,4th,Democratic,Hernandez ,/,"82,138",36.5%
Kentucky,KY,1st,Republican,Comer* ,Incumbent,"184,103",74.9%
Kentucky,KY,1st,Democratic,Ausbrooks ,/,"61,693",25.1%
Kentucky,KY,2nd,Republican,Guthrie* ,Incumbent,"170,486",71.9%
Kentucky,KY,2nd,Democratic,Linderman ,/,"66,767",28.1%
Kentucky,KY,3rd,Democratic,McGarvey ,/,"160,853",62.0%
Kentucky,KY,3rd,Republican,Ray ,/,"98,622",38.0%
Kentucky,KY,4th,Republican,Massie* ,Incumbent,"167,541",65.0%
Kentucky,KY,4th,Democratic,Lehman ,/,"79,977",31.0%
Kentucky,KY,4th,Ind.,Osborne ,/,"10,111",3.9%
Kentucky,KY,5th,Republican,Rogers* ,Incumbent,"177,714",82.2%
Kentucky,KY,5th,Democratic,Halbleib ,/,"38,549",17.8%
Kentucky,KY,6th,Republican,Barr* ,Incumbent,"154,760",65.1%
Kentucky,KY,6th,Democratic,Young ,/,"83,003",34.9%
Louisiana,LA,1st,Republican,Scalise* ,Incumbent,"177,642",72.8%
Louisiana,LA,1st,Democratic,Darling ,/,"61,458",25.2%
Louisiana,LA,1st,Libertarian Party,Kearney ,/,"4,906",2.0%
Louisiana,LA,2nd,Democratic,Carter* ,Incumbent,"158,120",77.1%
Louisiana,LA,2nd,Republican,Lux ,/,"46,926",22.9%
Louisiana,LA,3rd,Republican,Higgins* ,Incumbent,"144,423",64.3%
Louisiana,LA,3rd,Republican,Hoggatt ,/,"24,474",10.9%
Louisiana,LA,3rd,Democratic,LeBlanc ,/,"23,641",10.5%
Louisiana,LA,3rd,Democratic,LeBrun ,/,"21,172",9.4%
Louisiana,LA,3rd,Republican,Payne ,/,"4,012",1.8%
Louisiana,LA,3rd,Ind.,Wiggins ,/,"3,255",1.4%
Louisiana,LA,3rd,Republican,Shaheen ,/,"1,955",0.9%
Louisiana,LA,3rd,Libertarian Party,McLendon ,/,"1,620",0.7%
Louisiana,LA,4th,Republican,Johnson* ,Incumbent,,Uncontested
Louisiana,LA,5th,Republican,Letlow* ,Incumbent,"151,080",67.6%
Louisiana,LA,5th,Democratic,Dantzler ,/,"35,149",15.7%
Louisiana,LA,5th,Democratic,Huff ,/,"19,383",8.7%
Louisiana,LA,5th,Republican,Guillory ,/,"12,159",5.4%
Louisiana,LA,5th,Republican,Pullen ,/,"5,782",2.6%
Louisiana,LA,6th,Republican,Graves* ,Incumbent,"189,684",80.4%
Louisiana,LA,6th,Libertarian Party,Craig ,/,"30,709",13.0%
Louisiana,LA,6th,Republican,Belzer ,/,"15,535",6.6%
Maine,ME,1st,Democratic,Pingree* ,Incumbent,"218,630",62.8%
Maine,ME,1st,Republican,Thelander ,/,"128,996",37.1%
Maine,ME,1st,  ,Total Write-Ins ,/,362,0.1%
Maine,ME,2nd,Democratic,Golden* ,Incumbent,"165,136",53.1%
Maine,ME,2nd,Republican,Poliquin ,/,"146,142",46.9%
Maine,ME,2nd,Ind.,Bond ,/,0,0.0%
Maryland,MD,1st,Republican,Harris* ,Incumbent,"159,673",54.5%
Maryland,MD,1st,Democratic,Mizeur ,/,"126,511",43.2%
Maryland,MD,1st,Libertarian Party,Thibeault ,/,"6,924",2.4%
Maryland,MD,2nd,Democratic,Ruppersberger* ,Incumbent,"159,000",59.3%
Maryland,MD,2nd,Republican,Ambrose ,/,"109,081",40.7%
Maryland,MD,3rd,Democratic,Sarbanes* ,Incumbent,"175,514",60.2%
Maryland,MD,3rd,Republican,Morgan ,/,"115,801",39.8%
Maryland,MD,4th,Democratic,Ivey ,/,"144,204",90.3%
Maryland,MD,4th,Republican,Warner ,/,"15,441",9.7%
Maryland,MD,5th,Democratic,Hoyer* ,Incumbent,"182,478",66.0%
Maryland,MD,5th,Republican,Palombi ,/,"94,000",34.0%
Maryland,MD,6th,Democratic,Trone* ,Incumbent,"140,295",54.8%
Maryland,MD,6th,Republican,Parrott ,/,"115,771",45.2%
Maryland,MD,7th,Democratic,Mfume* ,Incumbent,"151,640",82.2%
Maryland,MD,7th,Republican,Collier ,/,"32,737",17.8%
Maryland,MD,8th,Democratic,Raskin* ,Incumbent,"211,842",80.3%
Maryland,MD,8th,Republican,Coll ,/,"47,965",18.2%
Maryland,MD,8th,Libertarian Party,Garcia ,/,"4,125",1.6%
Massachusetts,MA,1st,Democratic,Neal* ,Incumbent,"153,402",61.4%
Massachusetts,MA,1st,Republican,Martilli ,/,"96,499",38.6%
Massachusetts,MA,2nd,Democratic,McGovern* ,Incumbent,"178,472",66.2%
Massachusetts,MA,2nd,Republican,Sossa-Paquette ,/,"91,100",33.8%
Massachusetts,MA,3rd,Democratic,Trahan* ,Incumbent,"145,507",63.8%
Massachusetts,MA,3rd,Republican,Tran ,/,"82,628",36.2%
Massachusetts,MA,4th,Democratic,Auchincloss* ,Incumbent,,Uncontested
Massachusetts,MA,5th,Democratic,Clark* ,Incumbent,"198,617",73.8%
Massachusetts,MA,5th,Republican,Colarusso ,/,"70,694",26.2%
Massachusetts,MA,6th,Democratic,Moulton* ,Incumbent,"190,062",62.7%
Massachusetts,MA,6th,Republican,May ,/,"107,496",35.4%
Massachusetts,MA,6th,Libertarian Party,Tashjian ,/,"5,727",1.9%
Massachusetts,MA,7th,Democratic,Pressley* ,Incumbent,"144,902",84.5%
Massachusetts,MA,7th,Republican,Palmer ,/,"26,481",15.5%
Massachusetts,MA,8th,Democratic,Lynch* ,Incumbent,"184,084",69.5%
Massachusetts,MA,8th,Republican,Burke ,/,"80,961",30.5%
Massachusetts,MA,9th,Democratic,Keating* ,Incumbent,"193,426",59.4%
Massachusetts,MA,9th,Republican,Brown ,/,"131,936",40.6%
Michigan,MI,1st,Republican,Bergman* ,Incumbent,"231,652",59.9%
Michigan,MI,1st,Democratic,Lorinser ,/,"144,952",37.5%
Michigan,MI,1st,  ,Hakola ,/,"5,480",1.4%
Michigan,MI,1st,Libertarian Party,Gale ,/,"4,569",1.2%
Michigan,MI,2nd,Republican,Moolenaar* ,Incumbent,"215,092",63.7%
Michigan,MI,2nd,Democratic,Hilliard ,/,"115,710",34.3%
Michigan,MI,2nd,Libertarian Party,Hewer ,/,"6,818",2.0%
Michigan,MI,3rd,Democratic,Scholten ,/,"186,109",54.8%
Michigan,MI,3rd,Republican,Gibbs ,/,"142,321",41.9%
Michigan,MI,3rd,Libertarian Party,Lewis ,/,"6,718",2.0%
Michigan,MI,3rd,  ,Palus ,/,"4,192",1.2%
Michigan,MI,4th,Republican,Huizenga* ,Incumbent,"185,778",54.4%
Michigan,MI,4th,Democratic,Alfonso ,/,"145,041",42.5%
Michigan,MI,4th,Libertarian Party,Wenke ,/,"8,525",2.5%
Michigan,MI,4th,  ,Clark ,/,"2,260",0.7%
Michigan,MI,5th,Republican,Walberg* ,Incumbent,"196,498",62.5%
Michigan,MI,5th,Democratic,Goldberg ,/,"109,549",34.9%
Michigan,MI,5th,Libertarian Party,Peterson ,/,"5,089",1.6%
Michigan,MI,5th,  ,Scott ,/,"3,116",1.0%
Michigan,MI,6th,Democratic,Dingell* ,Incumbent,"241,763",65.9%
Michigan,MI,6th,Republican,Williams ,/,"125,168",34.1%
Michigan,MI,7th,Democratic,Slotkin* ,Incumbent,"192,828",51.7%
Michigan,MI,7th,Republican,Barrett ,/,"172,619",46.3%
Michigan,MI,7th,Libertarian Party,Dailey ,/,"7,276",2.0%
Michigan,MI,8th,Democratic,Kildee* ,Incumbent,"178,318",53.1%
Michigan,MI,8th,Republican,Junge ,/,"143,845",42.8%
Michigan,MI,8th,  ,Goodwin ,/,"9,077",2.7%
Michigan,MI,8th,Libertarian Party,Canny ,/,"4,580",1.4%
Michigan,MI,9th,Republican,McClain* ,Incumbent,"238,289",63.9%
Michigan,MI,9th,Democratic,Jaye ,/,"123,692",33.2%
Michigan,MI,9th,  ,Walkowicz ,/,"6,570",1.8%
Michigan,MI,9th,Libertarian Party,Kelts ,/,"4,349",1.2%
Michigan,MI,10th,Republican,James ,/,"159,203",48.8%
Michigan,MI,10th,Democratic,Marlinga ,/,"157,602",48.3%
Michigan,MI,10th,  ,Kirby ,/,"5,905",1.8%
Michigan,MI,10th,Libertarian Party,Saliba ,/,"3,524",1.1%
Michigan,MI,11th,Democratic,Stevens* ,Incumbent,"224,080",61.3%
Michigan,MI,11th,Republican,Ambrose ,/,"141,312",38.7%
Michigan,MI,12th,Democratic,Tlaib* ,Incumbent,"196,601",70.8%
Michigan,MI,12th,Republican,Elliott ,/,"72,889",26.3%
Michigan,MI,12th,  ,Walkowicz ,/,"8,046",2.9%
Michigan,MI,13th,Democratic,Thanedar ,/,"166,203",71.1%
Michigan,MI,13th,Republican,Bivings ,/,"56,111",24.0%
Michigan,MI,13th,  ,Coleman ,/,"8,811",3.8%
Michigan,MI,13th,  ,Dardzinski ,/,"2,763",1.2%
Minnesota,MN,1st,Republican,Finstad* ,Incumbent,"159,621",53.9%
Minnesota,MN,1st,Democratic,Ettinger ,/,"125,457",42.3%
Minnesota,MN,1st,  ,Reisdorf ,/,"6,389",2.2%
Minnesota,MN,1st,  ,Abrahamson ,/,"4,943",1.7%
Minnesota,MN,2nd,Democratic,Craig* ,Incumbent,"165,583",51.0%
Minnesota,MN,2nd,Republican,Kistner ,/,"148,576",45.7%
Minnesota,MN,2nd,  ,Overby ,/,"10,728",3.3%
Minnesota,MN,3rd,Democratic,Phillips* ,Incumbent,"198,883",59.6%
Minnesota,MN,3rd,Republican,Weiler ,/,"134,797",40.4%
Minnesota,MN,4th,Democratic,McCollum* ,Incumbent,"200,055",67.7%
Minnesota,MN,4th,Republican,Xiong ,/,"95,493",32.3%
Minnesota,MN,5th,Democratic,Omar* ,Incumbent,"214,224",75.2%
Minnesota,MN,5th,Republican,Davis ,/,"70,702",24.8%
Minnesota,MN,6th,Republican,Emmer* ,Incumbent,"198,145",62.1%
Minnesota,MN,6th,Democratic,Hendricks ,/,"120,852",37.9%
Minnesota,MN,7th,Republican,Fischbach* ,Incumbent,"204,766",67.0%
Minnesota,MN,7th,Democratic,Abahsain ,/,"84,455",27.6%
Minnesota,MN,7th,  ,Johnson ,/,"16,421",5.4%
Minnesota,MN,8th,Republican,Stauber* ,Incumbent,"188,755",57.2%
Minnesota,MN,8th,Democratic,Schultz ,/,"141,009",42.8%
Mississippi,MS,1st,Republican,Kelly* ,Incumbent,"122,152",73.0%
Mississippi,MS,1st,Democratic,Black ,/,"45,238",27.0%
Mississippi,MS,2nd,Democratic,Thompson* ,Incumbent,"108,285",60.1%
Mississippi,MS,2nd,Republican,Flowers ,/,"71,884",39.9%
Mississippi,MS,3rd,Republican,Guest* ,Incumbent,"132,481",70.7%
Mississippi,MS,3rd,Democratic,Young ,/,"54,803",29.3%
Mississippi,MS,4th,Republican,Ezell ,/,"127,813",73.3%
Mississippi,MS,4th,Democratic,DuPree ,/,"42,876",24.6%
Mississippi,MS,4th,Libertarian Party,Johnson ,/,"3,569",2.0%
Missouri,MO,1st,Democratic,Bush* ,Incumbent,"160,042",72.8%
Missouri,MO,1st,Republican,Jones ,/,"53,572",24.4%
Missouri,MO,1st,Libertarian Party,Zsidisin ,/,"6,166",2.8%
Missouri,MO,2nd,Republican,Wagner* ,Incumbent,"173,035",54.9%
Missouri,MO,2nd,Democratic,Gunby ,/,"135,639",43.0%
Missouri,MO,2nd,Libertarian Party,Slantz ,/,"6,486",2.1%
Missouri,MO,3rd,Republican,Luetkemeyer* ,Incumbent,"180,358",65.2%
Missouri,MO,3rd,Democratic,Mann ,/,"96,465",34.8%
Missouri,MO,4th,Republican,Alford ,/,"181,023",71.3%
Missouri,MO,4th,Democratic,Truman ,/,"66,671",26.3%
Missouri,MO,4th,Libertarian Party,Langkraehr ,/,"6,090",2.4%
Missouri,MO,5th,Democratic,Cleaver* ,Incumbent,"139,882",60.9%
Missouri,MO,5th,Republican,Turk ,/,"83,794",36.5%
Missouri,MO,5th,Libertarian Party,Dominick ,/,"5,830",2.5%
Missouri,MO,6th,Republican,Graves* ,Incumbent,"184,070",70.3%
Missouri,MO,6th,Democratic,Martin ,/,"71,939",27.5%
Missouri,MO,6th,Libertarian Party,Maidment ,/,"5,745",2.2%
Missouri,MO,7th,Republican,Burlison ,/,"177,957",70.9%
Missouri,MO,7th,Democratic,Radaker-Sheafer ,/,"67,082",26.7%
Missouri,MO,7th,Libertarian Party,Craig ,/,"5,839",2.3%
Missouri,MO,8th,Republican,Smith* ,Incumbent,"186,259",76.0%
Missouri,MO,8th,Democratic,McCallian ,/,"53,661",21.9%
Missouri,MO,8th,Libertarian Party,Higgins ,/,"5,175",2.1%
Montana,MT,1st,Republican,Zinke ,/,"123,102",49.6%
Montana,MT,1st,Democratic,Tranel ,/,"115,265",46.5%
Montana,MT,1st,Libertarian Party,Lamb ,/,"9,593",3.9%
Montana,MT,2nd,Republican,Rosendale* ,Incumbent,"121,979",56.6%
Montana,MT,2nd,Ind.,Buchanan ,/,"47,195",21.9%
Montana,MT,2nd,Democratic,Ronning ,/,"43,480",20.2%
Montana,MT,2nd,Libertarian Party,Rankin ,/,"3,018",1.4%
Nebraska,NE,1st,Republican,Flood* ,Incumbent,"127,671",58.1%
Nebraska,NE,1st,Democratic,Pansing Brooks ,/,"91,940",41.9%
Nebraska,NE,2nd,Republican,Bacon* ,Incumbent,"111,388",51.5%
Nebraska,NE,2nd,Democratic,Vargas ,/,"104,868",48.5%
Nebraska,NE,3rd,Republican,Smith* ,Incumbent,"171,967",78.3%
Nebraska,NE,3rd,Democratic,Else ,/,"34,703",15.8%
Nebraska,NE,3rd,  ,Elworth ,/,"12,915",5.9%
Nevada,NV,1st,Democratic,Titus* ,Incumbent,"114,916",51.6%
Nevada,NV,1st,Republican,Robertson ,/,"102,355",45.9%
Nevada,NV,1st,Libertarian Party,Cavanaugh ,/,"5,502",2.5%
Nevada,NV,2nd,Republican,Amodei* ,Incumbent,"181,689",59.7%
Nevada,NV,2nd,Democratic,Krause ,/,"115,186",37.9%
Nevada,NV,2nd,  ,Best ,/,"4,076",1.3%
Nevada,NV,2nd,Libertarian Party,Baber ,/,"3,351",1.1%
Nevada,NV,3rd,Democratic,Lee* ,Incumbent,"130,237",52.0%
Nevada,NV,3rd,Republican,Becker ,/,"120,102",48.0%
Nevada,NV,4th,Democratic,Horsford* ,Incumbent,"115,836",52.4%
Nevada,NV,4th,Republican,Peters ,/,"105,037",47.6%
New Hampshire,NH,1st,Democratic,Pappas* ,Incumbent,"166,852",54.0%
New Hampshire,NH,1st,Republican,Leavitt ,/,"141,899",46.0%
New Hampshire,NH,2nd,Democratic,McLane Kuster* ,Incumbent,"171,733",55.9%
New Hampshire,NH,2nd,Republican,Burns ,/,"135,567",44.1%
New Jersey,NJ,1st,Democratic,Norcross* ,Incumbent,"139,559",62.3%
New Jersey,NJ,1st,Republican,Gustafson ,/,"78,794",35.2%
New Jersey,NJ,1st,Ind.,Kline ,/,"3,343",1.5%
New Jersey,NJ,1st,Ind.,Fletcher ,/,"1,546",0.7%
New Jersey,NJ,1st,Ind.,Cannon ,/,642,0.3%
New Jersey,NJ,2nd,Republican,Van Drew* ,Incumbent,"139,216",58.9%
New Jersey,NJ,2nd,Democratic,Alexander ,/,"94,521",40.0%
New Jersey,NJ,2nd,Ind.,Gallo ,/,"1,825",0.8%
New Jersey,NJ,2nd,Ind.,Sanchez ,/,920,0.4%
New Jersey,NJ,3rd,Democratic,Kim* ,Incumbent,"150,497",55.5%
New Jersey,NJ,3rd,Republican,Healey ,/,"118,413",43.6%
New Jersey,NJ,3rd,Ind.,Russomanno ,/,"1,347",0.5%
New Jersey,NJ,3rd,Ind.,Sobocinski ,/,"1,116",0.4%
New Jersey,NJ,4th,Republican,Smith* ,Incumbent,"173,288",66.9%
New Jersey,NJ,4th,Democratic,Jenkins ,/,"81,233",31.4%
New Jersey,NJ,4th,Ind.,Cullen ,/,"1,902",0.7%
New Jersey,NJ,4th,Ind.,Schmidt ,/,"1,197",0.5%
New Jersey,NJ,4th,Ind.,Schroeder ,/,905,0.3%
New Jersey,NJ,4th,Ind.,Daniels ,/,437,0.2%
New Jersey,NJ,5th,Democratic,Gottheimer* ,Incumbent,"145,559",54.7%
New Jersey,NJ,5th,Republican,Pallotta ,/,"117,873",44.3%
New Jersey,NJ,5th,Ind.,Marcus ,/,"1,193",0.4%
New Jersey,NJ,5th,  ,Other candidates,/,"1,318",0.5%
New Jersey,NJ,6th,Democratic,Pallone* ,Incumbent,"106,238",57.5%
New Jersey,NJ,6th,Republican,Kiley ,/,"75,839",41.0%
New Jersey,NJ,6th,Ind.,Fisher ,/,"1,361",0.7%
New Jersey,NJ,6th,  ,Other candidates,/,"1,481",0.8%
New Jersey,NJ,7th,Republican,Kean Jr. ,/,"159,392",51.4%
New Jersey,NJ,7th,Democratic,Malinowski* ,Incumbent,"150,701",48.6%
New Jersey,NJ,8th,Democratic,Menendez ,/,"78,371",73.6%
New Jersey,NJ,8th,Republican,Arroyo ,/,"24,956",23.4%
New Jersey,NJ,8th,Ind.,Kuniansky ,/,"1,016",1.0%
New Jersey,NJ,8th,  ,Other candidates,/,"2,117",2.0%
New Jersey,NJ,9th,Democratic,Pascrell* ,Incumbent,"82,457",55.0%
New Jersey,NJ,9th,Republican,Prempeh ,/,"65,365",43.6%
New Jersey,NJ,9th,Ind.,Sherman ,/,"1,108",0.7%
New Jersey,NJ,9th,Ind.,Armstrong ,/,"1,054",0.7%
New Jersey,NJ,10th,Democratic,Payne Jr.* ,Incumbent,"100,644",77.6%
New Jersey,NJ,10th,Republican,Pinckney ,/,"25,984",20.0%
New Jersey,NJ,10th,Ind.,Johnson ,/,"1,989",1.5%
New Jersey,NJ,10th,  ,Other candidates,/,"1,014",0.8%
New Jersey,NJ,11th,Democratic,Sherrill* ,Incumbent,"161,238",59.0%
New Jersey,NJ,11th,Republican,DeGroot ,/,"109,944",40.2%
New Jersey,NJ,11th,Ind.,Biasco ,/,"2,276",0.8%
New Jersey,NJ,12th,Democratic,Watson Coleman* ,Incumbent,"125,127",63.1%
New Jersey,NJ,12th,Republican,Mayfield ,/,"71,175",35.9%
New Jersey,NJ,12th,Ind.,Genrich ,/,"1,925",1.0%
New Mexico,NM,1st,Democratic,Stansbury* ,Incumbent,"156,386",55.8%
New Mexico,NM,1st,Republican,Garcia Holmes ,/,"124,115",44.2%
New Mexico,NM,2nd,Democratic,Vasquez ,/,"96,984",50.3%
New Mexico,NM,2nd,Republican,Herrell* ,Incumbent,"95,638",49.7%
New Mexico,NM,3rd,Democratic,Leger Fernandez* ,Incumbent,"134,195",58.2%
New Mexico,NM,3rd,Republican,Martinez Johnson ,/,"96,560",41.8%
New York,NY,1st,Republican,LaLota ,/,"173,275",55.9%
New York,NY,1st,Democratic,Fleming ,/,"136,899",44.1%
New York,NY,2nd,Republican,Garbarino* ,Incumbent,"148,654",61.0%
New York,NY,2nd,Democratic,Gordon ,/,"95,217",39.0%
New York,NY,3rd,Republican,Santos ,/,"142,673",54.1%
New York,NY,3rd,Democratic,Zimmerman ,/,"121,094",45.9%
New York,NY,4th,Republican,D'Esposito ,/,"139,063",51.9%
New York,NY,4th,Democratic,Gillen ,/,"129,077",48.1%
New York,NY,5th,Democratic,Meeks* ,Incumbent,"97,981",75.2%
New York,NY,5th,Republican,King ,/,"32,393",24.8%
New York,NY,6th,Democratic,Meng* ,Incumbent,"79,506",63.3%
New York,NY,6th,Republican,Zmich ,/,"46,188",36.7%
New York,NY,7th,Democratic,Velazquez* ,Incumbent,"111,968",80.5%
New York,NY,7th,Republican,Pagan ,/,"27,142",19.5%
New York,NY,8th,Democratic,Jeffries* ,Incumbent,"93,295",72.4%
New York,NY,8th,Republican,Dashevsky ,/,"35,486",27.6%
New York,NY,9th,Democratic,Clarke* ,Incumbent,"111,162",82.2%
New York,NY,9th,  ,Raitport ,/,"24,143",17.8%
New York,NY,10th,Democratic,Goldman ,/,"149,261",83.9%
New York,NY,10th,Republican,Hamdan ,/,"27,230",15.3%
New York,NY,10th,  ,Speer ,/,"1,357",0.8%
New York,NY,11th,Republican,Malliotakis* ,Incumbent,"113,485",62.1%
New York,NY,11th,Democratic,Rose ,/,"69,241",37.9%
New York,NY,12th,Democratic,Nadler* ,Incumbent,"186,357",81.7%
New York,NY,12th,Republican,Zumbluskas ,/,"41,264",18.1%
New York,NY,12th,  ,Itkis ,/,583,0.3%
New York,NY,13th,Democratic,Espaillat* ,Incumbent,,Uncontested
New York,NY,14th,Democratic,Ocasio-Cortez* ,Incumbent,"78,788",70.6%
New York,NY,14th,Republican,Forte ,/,"30,661",27.5%
New York,NY,14th,  ,Cuellar ,/,"2,128",1.9%
New York,NY,15th,Democratic,Torres* ,Incumbent,"72,610",82.6%
New York,NY,15th,Republican,Sapaskis ,/,"15,265",17.4%
New York,NY,16th,Democratic,Bowman* ,Incumbent,"131,550",64.2%
New York,NY,16th,Republican,Flisser ,/,"73,385",35.8%
New York,NY,17th,Republican,Lawler ,/,"142,206",50.4%
New York,NY,17th,Democratic,Maloney* ,Incumbent,"139,892",49.6%
New York,NY,18th,Democratic,Ryan* ,Incumbent,"132,365",50.5%
New York,NY,18th,Republican,Schmitt ,/,"129,757",49.5%
New York,NY,19th,Republican,Molinaro ,/,"144,075",51.1%
New York,NY,19th,Democratic,Riley ,/,"137,873",48.9%
New York,NY,20th,Democratic,Tonko* ,Incumbent,"159,015",55.0%
New York,NY,20th,Republican,Joy ,/,"130,012",45.0%
New York,NY,21st,Republican,Stefanik* ,Incumbent,"166,536",59.4%
New York,NY,21st,Democratic,Castelli ,/,"113,882",40.6%
New York,NY,22nd,Republican,Williams ,/,"135,061",50.5%
New York,NY,22nd,Democratic,Conole ,/,"132,432",49.5%
New York,NY,23rd,Republican,Langworthy ,/,"189,790",65.0%
New York,NY,23rd,Democratic,Della Pia ,/,"102,323",35.0%
New York,NY,24th,Republican,Tenney* ,Incumbent,"181,679",66.4%
New York,NY,24th,Democratic,Holden ,/,"91,793",33.6%
New York,NY,25th,Democratic,Morelle* ,Incumbent,"148,681",53.6%
New York,NY,25th,Republican,Singletary ,/,"128,502",46.4%
New York,NY,26th,Democratic,Higgins* ,Incumbent,"154,477",63.9%
New York,NY,26th,Republican,Sams ,/,"87,189",36.1%
North Carolina,NC,1st,Democratic,Davis ,/,"134,996",52.4%
North Carolina,NC,1st,Republican,Smith ,/,"122,780",47.6%
North Carolina,NC,2nd,Democratic,Ross* ,Incumbent,"190,714",64.7%
North Carolina,NC,2nd,Republican,Villaverde ,/,"104,155",35.3%
North Carolina,NC,3rd,Republican,Murphy* ,Incumbent,"166,520",66.9%
North Carolina,NC,3rd,Democratic,Gaskins ,/,"82,378",33.1%
North Carolina,NC,4th,Democratic,Foushee ,/,"194,983",66.9%
North Carolina,NC,4th,Republican,Geels ,/,"96,442",33.1%
North Carolina,NC,5th,Republican,Foxx* ,Incumbent,"175,279",63.2%
